source_page_url,source_page_title,item_type,rank,name,description,verdict,address,price,neighborhood_or_area,item_url,booking_or_activity_url,related_timeout_url,image_url,notes,lat,lng,geocode_provider,geocode_query
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,beach,11,Have a beach day in Costa da Caparica,"Accessible 10km coastline south of Lisbon with beaches such as Cova do Vapor, Sao Joao, and CDS.",The best beaches near Lisbon,"Costa da Caparica, 2825-412",Free to visit,Costa da Caparica,https://www.timeout.com/lisbon/attractions/the-most-beautiful-lisbon-beaches,,https://www.timeout.com/lisbon/attractions/the-most-beautiful-lisbon-beaches,https://media.timeout.com/images/103925822/750/422/image.jpg,Time Out suggests spring for fewer crowds; reachable by bus or short taxi from central Lisbon.,38.640619,-9.233990,Nominatim,"Costa da Caparica, 2825-412, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,nightclub,12,Dance until dawn at Lux Fragil,"Famous Lisbon nightclub with two dance floors, a river-view terrace, resident DJs, and international guests.",The best club in Lisbon (for dancing all night),"Av. Infante Dom Henrique, Armazem A, 1950-376",,Sao Vicente,https://www.timeout.com/lisbon/nightlife/lux-fragil,,https://www.timeout.com/lisbon/nightlife/the-best-lisbon-clubs,https://media.timeout.com/images/105602511/750/422/image.jpg,Watching sunrise from the terrace is Time Out's key tip.,38.747448,-9.104673,Photon,"Av. Infante Dom Henrique, Armazem A, 1950-376, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,bookshop,13,Buy a book at the oldest bookshop in the world,"Visit Bertrand Chiado, the original branch of the long-running Portuguese bookshop chain, open since 1732.",Best for history buffs,"R. Garrett 73-75, 1200-203",,Chiado,https://www.bertrand.pt/online/livraria-bertrand-do-chiado?srsltid=AfmBOooYkDcwQ7feAMog2jx6HaULlNkIq3cKXSixJ1HIYB39CrHcvwUF,,,https://media.timeout.com/images/103569791/750/422/image.jpg,Recognized by Guinness World Records as the world's oldest bookshop; includes a cafe room.,38.710597,-9.141960,Nominatim,"R. Garrett 73-75, 1200-203, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,shop,14,Shop for tinned fish at Conserveira de Lisboa,"Historic 1930 canned-fish shop with colorful tins of sardines, tuna, anchovies, fish paste, and in-house brands.",The very best Lisbon souvenir,"R. dos Bacalhoeiros 34, 1100-070",,Baixa / riverfront,https://www.timeout.com/lisbon/shopping/conserveira-de-lisboa,,https://www.timeout.com/lisbon/shopping/conserveira-de-lisboa,https://media.timeout.com/images/105926702/750/422/image.jpg,"House brands include Tricana, Prata do Mar, and Minor.",38.709316,-9.134733,Nominatim,"R. dos Bacalhoeiros 34, 1100-070, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,museum,15,See an impressive contemporary art exhibition at MAC,"Belem museum formed from merged institutions, focused on major 20th- and 21st-century art movements.",Lisbon's best art gallery,"Rua Serpa Pinto 4, 1200-444",Typically EUR8-EUR10; free for kids,Belem,https://www.timeout.com/lisbon/museums/berardo-collection-museum,http://attractions.timeout.com/en/11312/tours/Lisbon/Museu-Colecao-Berardo-Admission-Ticket/d538-66807P1,https://www.timeout.com/lisbon/museums/berardo-collection-museum,https://media.timeout.com/images/106245235/750/422/image.jpg,"Time Out notes Place of Being: The Burle Marx Legacy runs until April 5, 2026.",38.708836,-9.141183,Nominatim,"Rua Serpa Pinto 4, 1200-444, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,boat tour,16,Sail along the Tagus with Oceanscape,River and sea tour operator using a converted traditional Portuguese fishing boat for a more unusual Tagus experience.,The most unusual experience in Lisbon,Boats generally dock from the Doca de Belem marina,,Belem / Tagus River,https://oceanscape.pt/,,,https://media.timeout.com/images/105898111/750/422/image.jpg,Time Out highlights the chance for a dip near Cascais.,38.694353,-9.204254,Nominatim,Doca de Belem marina Lisbon Portugal
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,flea market,17,Grab a bargain at Feira da Ladra,"Long-running flea market in Campo de Santa Clara with antiques, second-hand finds, vintage clothing, crafts, murals, and Tagus views.",The city's best market,"Campo de Santa Clara, 1100-472",,Sao Vicente,https://www.timeout.com/lisbon/things-to-do/feira-da-ladra,,https://www.timeout.com/lisbon/things-to-do/feira-da-ladra,https://media.timeout.com/images/106368769/750/422/image.jpg,Go early on Tuesdays or Saturdays and be ready to haggle.,38.715734,-9.125560,Nominatim,"Campo de Santa Clara, 1100-472, Lisboa, Portugal"
https://www.timeout.com/lisbon/things-to-do/the-best-things-to-do-in-lisbon,The best things to do in Lisbon: a local's guide for 2026,cultural complex,18,Stroll around LX Factory,"Repurposed factory complex with markets, exhibitions, shops, cafes, concerts, parties, salons, tattoo studios, and rooftop drinks.",A unique attraction in Lisbon,"R. Rodrigues de Faria 103, 1300-501 Lisbon",,Alcantara,https://www.timeout.com/lisbon/attractions/lx-factory,https://activities.timeout.com/lisbon-l42/red-rose-tuk-tuk-tour-t605536/?ranking_uuid=c056f36c-e768-4842-971e-83e2ccebd35a,https://www.timeout.com/lisbon/attractions/lx-factory,https://media.timeout.com/images/105303325/750/422/image.jpg,Weekly market on Sundays.,38.702810,-9.178672,Nominatim,"R. Rodrigues de Faria 103, 1300-501 Lisbon"
https://www.timeout.com/lisbon/hotels/the-coolest-hotels-in-lisbon,The coolest hotels in Lisbon right now,hotel,3,AlmaLusa Alfama,"Boutique stay in Alfama with 25 rooms in a historic 12th-century building, local character, river views in some suites, and easy access to central sights.",Hotel under EUR175/night; 4 out of 5 stars,"Rua dos Bacalhoeiros, nº 16, Lisboa, 1100-070",Starting from EUR125 per night,Santa Maria Maior / Alfama,https://www.timeout.com/lisbon/hotels/almalusa-alfama,https://www.booking.com/hotel/pt/almalusa-alfama.en-gb.html?aid=336004&label=the-coolest-hotels-in-lisbon,https://www.timeout.com/lisbon/hotels,https://media.timeout.com/images/106325118/750/422/image.jpg,Closest transport: Terreiro do Paco station is a few minutes' walk. Time Out tip: try tram 12 for a quieter route toward Sao Jorge Castle.,38.708984,-9.132719,Nominatim,"Rua dos Bacalhoeiros, nº 16, Lisboa, 1100-070"
https://www.timeout.com/lisbon/hotels/the-coolest-hotels-in-lisbon,The coolest hotels in Lisbon right now,hotel,4,Hotel Hotel,"Trendy central hotel near Avenida da Liberdade with compact quiet rooms, a subtropical courtyard, pool, yoga studio, tattoo parlour, and Animal restaurant.",Hotel under EUR175/night; 4 out of 5 stars,Travessa da Gloria nº22 Lisboa 1250-118,EUR161 per room for two adults per night,Avenida da Liberdade,https://www.timeout.com/lisbon/hotels/hotel-hotel-review,https://www.booking.com/hotel/pt/hotelhotel.en-gb.html?aid=336004&label=the-coolest-hotels-in-lisbon,https://www.timeout.com/lisbon/hotels,https://media.timeout.com/images/106137867/750/422/image.jpg,"Closest transport: Restauradores metro is less than a 5-minute walk. Time Out tip: morning yoga classes are available, with private sessions as an alternative.",38.717092,-9.143898,Nominatim,Travessa da Gloria nº22 Lisboa 1250-118
https://www.timeout.com/lisbon/hotels/the-coolest-hotels-in-lisbon,The coolest hotels in Lisbon right now,hotel,5,Mama Shelter Lisbon,"Playful Principe Real hotel with small doubles, a rooftop bar, busy restaurant, local design touches, and a good base for Avenida da Liberdade and Jardim Botanico.",Hotel under EUR175/night; 4 out of 5 stars,"R. do Vale de Pereiro 19, 1250-270 Lisboa, Portugal",Low season from EUR126 per room per night; high season from EUR155,Principe Real,https://www.timeout.com/lisbon/hotels/mama-shelter-lisbon,https://www.booking.com/hotel/pt/mama-lisboa.en-gb.html?aid=336004&label=the-coolest-hotels-in-lisbon,https://www.timeout.com/lisbon/hotels,https://media.timeout.com/images/106144269/750/422/image.jpg,Closest transport: Rato Metro Station is a 2-minute walk. Time Out tip: nearby Jardim Botanico is worth a quiet detour.,38.720556,-9.152049,Nominatim,"R. do Vale de Pereiro 19, 1250-270 Lisboa, Portugal"
https://www.timeout.com/lisbon/hotels/the-coolest-hotels-in-lisbon,The coolest hotels in Lisbon right now,hotel,6,Locke de Santa Joana,"Apartment-style hotel in central Lisbon with compact rooms, kitchen/laundry features, coworking space, pool, gym, bars, and a restaurant in a 17th-century convent.",Hotel under EUR175/night; 4 out of 5 stars,Rua Camilo Castelo Branco 18 Lisbon 1150-084,Starting from EUR165 per night,Avenida da Liberdade / Principe Real,https://www.timeout.com/lisbon/hotels/locke-de-santa-joana,https://www.booking.com/hotel/pt/locke-de-santa-joana.pt-pt.html?aid=336004&label=the-coolest-hotels-in-lisbon,https://www.timeout.com/lisbon/hotels,https://media.timeout.com/images/106243630/750/422/image.jpg,Closest transport: Marques de Pombal Subway Station is a 2-minute walk. Time Out tip: visit the onsite archaeological museum in the convent section.,38.725512,-9.147320,Nominatim,Rua Camilo Castelo Branco 18 Lisbon 1150-084
https://www.timeout.com/lisbon/hotels/the-coolest-hotels-in-lisbon,The coolest hotels in Lisbon right now,hotel,12,Internacional Design Hotel,"Design-led Rossio hotel in one of Lisbon's oldest facades, with compact themed rooms, a winter garden, fitness studio, walking tours, and Bastardo restaurant.",Hotel under EUR175/night,"Rua Betesga 3, 1100-090 Lisbon",From about EUR150 per night,Rossio / Baixa,https://www.timeout.com/lisbon/hotels/the-coolest-hotels-in-lisbon,https://www.booking.com/hotel/pt/hotelinternacional.html?aid=336004&label=the-coolest-hotels-in-lisbon,https://www.timeout.com/lisbon/hotels,https://media.timeout.com/images/106325295/750/422/image.jpg,"Closest transport: Rossio Station, 2 minutes' walk. Time Out tip: walk to Confeitaria Nacional and try the baba pastry.",38.712976,-9.138433,Nominatim,"Rua Betesga 3, 1100-090 Lisbon"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,1,Cervejaria Ramiro,Known for Marisco (shellfish & seafood).,Restaurant from the Lisboa map,"Av. Almirante Reis 1-H, 1150-007",,Intendente / Arroios,https://www.timeout.com/lisbon/restaurants/cervejaria-ramiro,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.720300,-9.135700,map-builtin,"Av. Almirante Reis 1-H, 1150-007, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,2,Pinóquio,Known for Pica-pau & amêijoas (steak bites & clams).,Restaurant from the Lisboa map,"Praça dos Restauradores 79, 1250-188",,Santa Maria Maior (Restauradores),https://www.timeout.com/lisbon/restaurants/pinoquio,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,The original since 1982; a second branch is inside Time Out Market.,38.716600,-9.141700,map-builtin,"Praça dos Restauradores 79, 1250-188, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,3,O Velho Eurico,"Known for Petiscos, croquetes & bolinhos de bacalhau.",Restaurant from the Lisboa map,"Largo de São Cristóvão 3, 1100-179",,Mouraria (below São Jorge Castle),https://www.timeout.com/lisbon/restaurants/o-eurico,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.713700,-9.135300,map-builtin,"Largo de São Cristóvão 3, 1100-179, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,4,A Casa do Bacalhau,Known for Bacalhau & pataniscas (salt cod).,Restaurant from the Lisboa map,"Rua do Grilo 54, 1950-145",,Beato / Marvila (Xabregas),https://www.timeout.com/lisbon/restaurants/a-casa-do-bacalhau,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.729600,-9.107800,map-builtin,"Rua do Grilo 54, 1950-145, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,5,A Valenciana,Known for Frango assado (piri-piri chicken).,Restaurant from the Lisboa map,"Rua Marquês de Fronteira 157, 1070-294",,Campolide,https://www.timeout.com/lisbon/restaurants/a-valenciana,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.729300,-9.161000,map-builtin,"Rua Marquês de Fronteira 157, 1070-294, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,6,O Cartaxinho,Known for Cozido à portuguesa (Portuguese stew).,Restaurant from the Lisboa map,"Rua de Santa Marta 20B, 1150-295",,Off Avenida da Liberdade (Santa Marta),https://www.timeout.com/lisbon/restaurants/o-cartaxinho,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.721600,-9.144900,map-builtin,"Rua de Santa Marta 20B, 1150-295, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,bakery,7,Manteigaria (Chiado),Known for Pastel de nata (custard tart).,Restaurant from the Lisboa map,"Rua do Loreto 2, 1200-108",,Chiado / Bairro Alto (Largo de Camões),https://www.timeout.com/lisbon/restaurants/manteigaria,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,"The 1900 Art Nouveau original — when you hear the bell, a fresh batch is out.",38.710600,-9.143200,map-builtin,"Rua do Loreto 2, 1200-108, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,bakery,8,Manteigaria (Rua Augusta),Known for Pastel de nata (custard tart).,Restaurant from the Lisboa map,"Rua Augusta 195-197, 1100-061",,Baixa,https://www.timeout.com/lisbon/restaurants/manteigaria,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.710200,-9.137600,map-builtin,"Rua Augusta 195-197, 1100-061, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,bakery,9,Manteigaria (Belém),Known for Pastel de nata (custard tart).,Restaurant from the Lisboa map,"Rua de Belém 100-106, 1300-085",,Belém,https://www.timeout.com/lisbon/restaurants/manteigaria,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.697200,-9.202500,map-builtin,"Rua de Belém 100-106, 1300-085, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,bakery,10,Manteigaria (Campo de Ourique),Known for Pastel de nata (custard tart).,Restaurant from the Lisboa map,"Rua Quatro de Infantaria 20C, 1350-093",,Campo de Ourique (Jardim da Parada),https://www.timeout.com/lisbon/restaurants/manteigaria,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.716300,-9.166800,map-builtin,"Rua Quatro de Infantaria 20C, 1350-093, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,bakery,11,Manteigaria (Saldanha),Known for Pastel de nata (custard tart).,Restaurant from the Lisboa map,"Av. Duque de Ávila 32A, 1000-141",,Saldanha / Avenidas Novas,https://www.timeout.com/lisbon/restaurants/manteigaria,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.733500,-9.145200,map-builtin,"Av. Duque de Ávila 32A, 1000-141, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,bakery,12,Manteigaria (Alvalade),Known for Pastel de nata (custard tart).,Restaurant from the Lisboa map,"Av. Rio de Janeiro 44, 1700-330",,Alvalade,https://www.timeout.com/lisbon/restaurants/manteigaria,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.752700,-9.138800,map-builtin,"Av. Rio de Janeiro 44, 1700-330, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,bakery,13,Manteigaria (Parque das Nações),Known for Pastel de nata (custard tart).,Restaurant from the Lisboa map,"Av. Dom João II 44 AB, 1990-095",,Parque das Nações (Gare do Oriente),https://www.timeout.com/lisbon/restaurants/manteigaria,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,,38.766800,-9.097800,map-builtin,"Av. Dom João II 44 AB, 1990-095, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,14,Gambrinus,Known for Prego & croquetes (steak sandwich).,Restaurant from the Lisboa map,"Rua das Portas de Santo Antão 23, 1150-264",,Baixa (Santa Maria Maior),https://www.timeout.com/lisbon/restaurants/gambrinus,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,Order the prego mal passado at the counter with a tulipa (small draught beer) and a croquette dipped in the house mustard.,38.715000,-9.139800,map-builtin,"Rua das Portas de Santo Antão 23, 1150-264, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,15,As Bifanas do Afonso (Madalena),Known for Bifana (pork sandwich).,Restaurant from the Lisboa map,"Rua da Madalena 146, 1100-320",,Sé / Baixa,https://www.timeout.com/lisbon/restaurants/as-bifanas-do-afonso,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,"The 50-year-old hole-in-the-wall original — stand-up counter, lunchtime queues.",38.711200,-9.135000,map-builtin,"Rua da Madalena 146, 1100-320, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,16,As Bifanas do Afonso (Baixa),Known for Bifana (pork sandwich).,Restaurant from the Lisboa map,"Rua dos Sapateiros 158, 1100-580",,Baixa (Rua dos Sapateiros),https://www.timeout.com/lisbon/restaurants/as-bifanas-do-afonso,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,"Newer sit-down counter inside the Lisbon Art Stay hotel, near Rua Augusta.",38.710400,-9.138100,map-builtin,"Rua dos Sapateiros 158, 1100-580, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,17,O Trevo,Known for Bifana (pork sandwich).,Restaurant from the Lisboa map,"Praça Luís de Camões 48, 1200-243",,Chiado / Bairro Alto (Largo de Camões),https://www.timeout.com/lisbon/restaurants/o-trevo,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,The bifana that won over Anthony Bourdain on No Reservations.,38.710400,-9.142100,map-builtin,"Praça Luís de Camões 48, 1200-243, Lisboa, Portugal"
https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,How to eat like a local in Lisbon,restaurant,18,Gancho,Known for Neo-tasca petiscos.,Restaurant from the Lisboa map,"Rua do Vigário 70B, 1100-616",,Alfama,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,https://www.timeout.com/lisbon/restaurants/eat-like-a-local-in-lisbon,,"A modern Alfama tavern with Portuguese, French and Italian influences and a seasonal menu.",38.711900,-9.128100,map-builtin,"Rua do Vigário 70B, 1100-616, Lisboa, Portugal"
